id,audit_reasons,dataset,answer_type,grounding_type,reasoning_type,gold_answer,sft_answer,dpo_answer,sft_exact,dpo_exact,manual_review_required,manual_is_dpo_better,manual_severity,manual_notes
finqa_test_finqa1020,"[""regressed_exact_vs_sft"", ""regressed_numeric_exact_vs_sft"", ""introduced_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,0.14243,0.14243,0.1424,True,False,True,,,
finqa_test_finqa336,"[""regressed_exact_vs_sft"", ""regressed_numeric_exact_vs_sft"", ""fixed_wrong_citation_vs_sft"", ""introduced_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,148.36,148.36,0.4436,True,False,True,,,
finqa_test_finqa714,"[""regressed_exact_vs_sft"", ""regressed_numeric_exact_vs_sft"", ""introduced_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,410.08,410.08,411.08,True,False,True,,,
finqa_valid_finqa118,"[""regressed_exact_vs_sft"", ""regressed_numeric_exact_vs_sft"", ""introduced_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,0.07135,0.07135,0.07145,True,False,True,,,
finqa_valid_finqa721,"[""regressed_exact_vs_sft"", ""regressed_numeric_exact_vs_sft"", ""introduced_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,0.11475,0.11475,0.11141,True,False,True,,,
synthetic_unanswerable_heldout_12,"[""regressed_exact_vs_sft"", ""introduced_wrong_citation_vs_sft"", ""unanswerable_slice""]",SyntheticUnanswerable,unanswerable,unanswerable,lookup,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,11465,True,False,True,,,
synthetic_unanswerable_heldout_32,"[""regressed_exact_vs_sft"", ""unanswerable_slice""]",SyntheticUnanswerable,unanswerable,unanswerable,lookup,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,the basic and diluted earnings (loss) per common share are computed using the two-class method.,True,False,True,,,
tatqa_validation_3404ada9eba910b36a2e3d0e0a8eee47,"[""regressed_exact_vs_sft""]",TAT-QA,span,direct_grounded,lookup,"result of interest expense of $3.3 million associated with our long-term debt and our financing lease obligation of $2.0 million in connection with the construction of our Lexington, MA – U.S. headquarters","primarily as a result of interest expense of $3.3 million associated with our long-term debt and our financing lease obligation of $2.0 million in connection with the construction of our Lexington, MA – U.S. headquarters.",$5.3 million,True,False,True,,,
tatqa_validation_65d75e652f5df32b1118930f7fdbb1ba,"[""introduced_wrong_citation_vs_sft""]",TAT-QA,number,calculation_hard,calculation,198.5 million,198.5 million,198.5 million,True,True,True,,,
tatqa_validation_6d87d86bac813aa7752813163d6ea3cb,"[""introduced_wrong_citation_vs_sft""]",TAT-QA,span,direct_grounded,comparison,2018,2018,2018,True,True,True,,,
synthetic_unanswerable_heldout_52,"[""unanswerable_slice""]",SyntheticUnanswerable,unanswerable,unanswerable,lookup,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,True,True,True,,,
synthetic_unanswerable_heldout_70,"[""unanswerable_slice""]",SyntheticUnanswerable,unanswerable,unanswerable,lookup,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,True,True,True,,,
synthetic_unanswerable_heldout_78,"[""unanswerable_slice""]",SyntheticUnanswerable,unanswerable,unanswerable,lookup,Insufficient evidence to answer from the provided contexts.,-0.55,-0.25,False,False,True,,,
synthetic_unanswerable_heldout_84,"[""unanswerable_slice""]",SyntheticUnanswerable,unanswerable,unanswerable,lookup,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,Insufficient evidence to answer from the provided contexts.,True,True,True,,,
finqa_test_finqa534,"[""improved_exact_vs_sft"", ""improved_numeric_exact_vs_sft"", ""fixed_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,51.0,-51.0,51.0,False,True,True,,,
finqa_test_finqa820,"[""improved_exact_vs_sft"", ""improved_numeric_exact_vs_sft"", ""fixed_wrong_citation_vs_sft"", ""fixed_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,18.75,18750000.0,18.75,False,True,True,,,
finqa_valid_finqa685,"[""improved_exact_vs_sft"", ""improved_numeric_exact_vs_sft"", ""fixed_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,257.0,257,257.0,False,True,True,,,
