step,total_steps,loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/rejected,logps/chosen,logits/rejected,logits/chosen,epoch
10,500,0.2742,4.753779411315918,6.666666666666667e-06,8.785097122192383,4.980148792266846,0.875,3.8049468994140625,-98.00347137451172,-72.90435791015625,-0.5804054141044617,-0.5629910230636597,0.16
20,500,0.1813,3.7226738929748535,9.997377845227577e-06,8.95556354522705,4.191841125488281,0.918749988079071,4.7637224197387695,-107.17628479003906,-72.1181869506836,-0.7128658890724182,-0.6856361031532288,0.32
30,500,0.1072,1.2610043287277222,9.97641710583307e-06,8.906803131103516,2.551767110824585,0.9624999761581421,6.35503625869751,-125.52703857421875,-76.4140396118164,-0.6843443512916565,-0.6456178426742554,0.48
40,500,0.0986,3.2532248497009277,9.934583543669454e-06,8.50389575958252,1.0685312747955322,0.9375,7.43536376953125,-137.0561065673828,-71.35111999511719,-0.7671603560447693,-0.7568567991256714,0.64
50,500,0.1221,6.733022212982178,9.872052623234632e-06,8.058154106140137,0.8348554372787476,0.949999988079071,7.2232985496521,-136.61997985839844,-79.28356170654297,-0.7416162490844727,-0.7258613705635071,0.8
60,500,0.0775,0.2854064404964447,9.789086620939936e-06,8.43966293334961,-0.39150533080101013,0.96875,8.831167221069336,-157.73263549804688,-82.48541259765625,-0.7004436254501343,-0.7109699845314026,0.96
70,500,0.0629,1.6286346912384033,9.68603352503172e-06,8.516942024230957,-0.4106653332710266,0.9750000238418579,8.927606582641602,-146.91409301757812,-72.50812530517578,-0.6722373366355896,-0.6652920842170715,1.12
80,500,0.1124,2.116107940673828,9.563325576007702e-06,8.540098190307617,0.1251748949289322,0.9437500238418579,8.414923667907715,-156.54115295410156,-81.0405044555664,-0.7451949119567871,-0.7413823008537292,1.28
90,500,0.0452,2.936998128890991,9.421477453650118e-06,8.319249153137207,-1.3931725025177002,0.981249988079071,9.712421417236328,-156.9529571533203,-78.03861236572266,-0.7427539825439453,-0.7528300285339355,1.44
100,500,0.0425,0.967614471912384,9.261084118279846e-06,8.437744140625,-1.0126830339431763,0.981249988079071,9.450427055358887,-162.10958862304688,-79.11334228515625,-0.6716823577880859,-0.6741310358047485,1.6
110,500,0.0535,1.2897475957870483,9.082818315286054e-06,7.4929375648498535,-2.614301919937134,0.9750000238418579,10.10723876953125,-167.8751678466797,-82.3272705078125,-0.721937358379364,-0.7355657815933228,1.76
120,500,0.0261,2.2688918113708496,8.887427753398249e-06,8.166015625,-2.1343560218811035,1.0,10.300371170043945,-170.2603302001953,-77.19868469238281,-0.6498939394950867,-0.6520280241966248,1.92
130,500,0.0512,7.206477642059326,8.675731968536004e-06,7.1626152992248535,-2.721522331237793,0.96875,9.884138107299805,-182.48141479492188,-90.1636734008789,-0.6549033522605896,-0.6692332029342651,2.08
140,500,0.0374,0.3073972165584564,8.448618886390523e-06,8.14517879486084,-2.767718553543091,0.9937499761581421,10.912898063659668,-178.23170471191406,-84.55891418457031,-0.6925281286239624,-0.7193988561630249,2.24
150,500,0.0604,45.32316207885742,8.207041098155701e-06,7.4114274978637695,-3.6635913848876953,0.96875,11.075017929077148,-190.8355255126953,-93.5817642211914,-0.6295703649520874,-0.640565037727356,2.4
160,500,0.0589,0.8411429524421692,7.952011865029614e-06,7.80806827545166,-3.15425968170166,0.9750000238418579,10.96232795715332,-175.48648071289062,-80.57598876953125,-0.6791671514511108,-0.7068958282470703,2.56
170,500,0.0147,1.154496431350708,7.68460086824492e-06,7.714653968811035,-4.174689769744873,0.987500011920929,11.88934326171875,-184.7344207763672,-75.81834411621094,-0.6988116502761841,-0.7404157519340515,2.72
180,500,0.0487,0.1091548353433609,7.405929722454026e-06,8.21039867401123,-3.714730739593506,0.9750000238418579,11.925129890441895,-186.23141479492188,-82.68311309814453,-0.6694242358207703,-0.6989520788192749,2.88
190,500,0.0161,0.23924504220485687,7.117167271287453e-06,8.623017311096191,-3.370887041091919,0.9937499761581421,11.993903160095215,-178.12551879882812,-75.21399688720703,-0.6659010648727417,-0.6901256442070007,3.04
200,500,0.0218,1.359312891960144,6.819524684817439e-06,7.922019958496094,-4.1836323738098145,0.9937499761581421,12.10565185546875,-188.12405395507812,-80.28118896484375,-0.6794993281364441,-0.7006070017814636,3.2
210,500,0.0399,1.27381432056427,6.514250379489754e-06,6.513563632965088,-4.434453010559082,0.987500011920929,10.948015213012695,-198.55958557128906,-99.02095794677734,-0.6492367386817932,-0.6769616007804871,3.36
220,500,0.0208,3.606935501098633,6.202624781831269e-06,6.923881530761719,-5.050576210021973,0.987500011920929,11.974458694458008,-203.16171264648438,-91.31458282470703,-0.6600110530853271,-0.719351053237915,3.52
230,500,0.0019,0.011270414106547832,5.885954957896115e-06,7.713974952697754,-5.5312347412109375,1.0,13.245208740234375,-204.34693908691406,-85.62382507324219,-0.6322532892227173,-0.6936787366867065,3.68
240,500,0.0298,1.2828962802886963,5.5655691309764225e-06,8.014006614685059,-5.0173563957214355,0.981249988079071,13.031362533569336,-197.06578063964844,-83.42108154296875,-0.6738888025283813,-0.7179692983627319,3.84
250,500,0.0107,0.007070299703627825,5.242811110572243e-06,6.971688747406006,-6.297630786895752,1.0,13.269319534301758,-207.89620971679688,-87.85665893554688,-0.69191974401474,-0.7283993363380432,4.0
260,500,0.0094,0.2824018597602844,4.919034655987493e-06,7.117331027984619,-5.346863746643066,1.0,12.464193344116211,-206.65304565429688,-99.08809661865234,-0.6275935173034668,-0.672902524471283,4.16
270,500,0.0078,2.68147611618042,4.59559779819298e-06,7.360304355621338,-6.718954563140869,0.9937499761581421,14.079257011413574,-211.8038330078125,-85.3525161743164,-0.6508697271347046,-0.6939400434494019,4.32
280,500,0.0099,0.029066257178783417,4.27385714377255e-06,6.55890417098999,-6.761805534362793,0.9937499761581421,13.320711135864258,-213.03359985351562,-90.26087951660156,-0.6823421716690063,-0.7459660768508911,4.48
290,500,0.0097,0.3545067608356476,3.955162184843625e-06,6.024242877960205,-6.038280963897705,1.0,12.06252384185791,-213.43466186523438,-104.3467788696289,-0.699885368347168,-0.7329827547073364,4.64
300,500,0.0201,1.828028917312622,3.6408496388182857e-06,5.628359794616699,-7.37648868560791,0.987500011920929,13.004849433898926,-224.87551879882812,-101.06805419921875,-0.6285074949264526,-0.6543493270874023,4.8
310,500,0.0118,0.017642609775066376,3.3322378417458985e-06,7.382298469543457,-6.338143825531006,0.9937499761581421,13.720441818237305,-209.23745727539062,-88.9359130859375,-0.6919329762458801,-0.7548782825469971,4.96
320,500,0.014,1.6762702465057373,3.0306212187535653e-06,7.736401557922363,-6.258959770202637,0.9937499761581421,13.995361328125,-208.72885131835938,-82.0805892944336,-0.6107161045074463,-0.6578651666641235,5.12
330,500,0.0009,0.03912106156349182,2.7372648547773063e-06,6.828464508056641,-6.729250431060791,1.0,13.557716369628906,-215.9792938232422,-95.07376098632812,-0.5788023471832275,-0.6490573883056641,5.28
340,500,0.0057,0.1039060652256012,2.4533991883561868e-06,6.89191198348999,-7.168332099914551,1.0,14.0602445602417,-220.25326538085938,-87.28132629394531,-0.7020682692527771,-0.7375994920730591,5.44
350,500,0.0139,1.152693271636963,2.1802148507454675e-06,6.175708770751953,-7.497772216796875,1.0,13.673480033874512,-214.7469482421875,-100.21432495117188,-0.6970694065093994,-0.770094096660614,5.6
360,500,0.0024,0.09700895100831985,1.9188576719953635e-06,6.755228519439697,-6.842675685882568,1.0,13.59790325164795,-218.6151885986328,-94.53367614746094,-0.6882678866386414,-0.7436791658401489,5.76
370,500,0.0153,0.016991717740893364,1.6704238749415958e-06,6.986379146575928,-6.7353410720825195,0.9937499761581421,13.721719741821289,-219.2562255859375,-95.98152923583984,-0.6259757280349731,-0.6735367774963379,5.92
380,500,0.0022,0.20643194019794464,1.4359554772658551e-06,6.4564313888549805,-7.288165092468262,1.0,13.744596481323242,-228.65673828125,-98.40544891357422,-0.6159470677375793,-0.637266993522644,6.08
390,500,0.0093,0.12705406546592712,1.2164359209115235e-06,6.215921878814697,-7.4959259033203125,1.0,13.711848258972168,-218.85556030273438,-97.9421615600586,-0.6741887331008911,-0.7115578055381775,6.24
400,500,0.0068,0.19264011085033417,1.012785947186397e-06,6.331267833709717,-7.438656806945801,1.0,13.769925117492676,-222.16268920898438,-94.94439697265625,-0.6585714817047119,-0.7084873914718628,6.4
410,500,0.0098,0.20954905450344086,8.258597348536452e-07,6.548680305480957,-7.603442192077637,0.9937499761581421,14.152120590209961,-224.1876983642578,-94.0811996459961,-0.6393638253211975,-0.7029771208763123,6.56
420,500,0.0024,1.0217143297195435,6.564413174092443e-07,6.733175754547119,-7.26592493057251,1.0,13.999101638793945,-221.8687286376953,-91.79978942871094,-0.6502596735954285,-0.7139360308647156,6.72
